step,true_id,x,y,vx,vy
0,1,-79.700000000000003,0,6,0
0,2,79.700000000000003,0,-6,0
1,1,-79.400000000000006,0,6,0
1,2,79.400000000000006,0,-6,0
2,1,-79.100000000000009,0,6,0
2,2,79.100000000000009,0,-6,0
3,1,-78.800000000000011,0,6,0
3,2,78.800000000000011,0,-6,0
4,1,-78.500000000000014,0,6,0
4,2,78.500000000000014,0,-6,0
5,1,-78.200000000000017,0,6,0
5,2,78.200000000000017,0,-6,0
6,1,-77.90000000000002,0,6,0
6,2,77.90000000000002,0,-6,0
7,1,-77.600000000000023,0,6,0
7,2,77.600000000000023,0,-6,0
8,1,-77.300000000000026,0,6,0
8,2,77.300000000000026,0,-6,0
9,1,-77.000000000000028,0,6,0
9,2,77.000000000000028,0,-6,0
10,1,-76.700000000000031,0,6,0
10,2,76.700000000000031,0,-6,0
11,1,-76.400000000000034,0,6,0
11,2,76.400000000000034,0,-6,0
12,1,-76.100000000000037,0,6,0
12,2,76.100000000000037,0,-6,0
13,1,-75.80000000000004,0,6,0
13,2,75.80000000000004,0,-6,0
14,1,-75.500000000000043,0,6,0
14,2,75.500000000000043,0,-6,0
15,1,-75.200000000000045,0,6,0
15,2,75.200000000000045,0,-6,0
16,1,-74.900000000000048,0,6,0
16,2,74.900000000000048,0,-6,0
17,1,-74.600000000000051,0,6,0
17,2,74.600000000000051,0,-6,0
18,1,-74.300000000000054,0,6,0
18,2,74.300000000000054,0,-6,0
19,1,-74.000000000000057,0,6,0
19,2,74.000000000000057,0,-6,0
20,1,-73.70000000000006,0,6,0
20,2,73.70000000000006,0,-6,0
21,1,-73.400000000000063,0,6,0
21,2,73.400000000000063,0,-6,0
22,1,-73.100000000000065,0,6,0
22,2,73.100000000000065,0,-6,0
23,1,-72.800000000000068,0,6,0
23,2,72.800000000000068,0,-6,0
24,1,-72.500000000000071,0,6,0
24,2,72.500000000000071,0,-6,0
25,1,-72.200000000000074,0,6,0
25,2,72.200000000000074,0,-6,0
26,1,-71.900000000000077,0,6,0
26,2,71.900000000000077,0,-6,0
27,1,-71.60000000000008,0,6,0
27,2,71.60000000000008,0,-6,0
28,1,-71.300000000000082,0,6,0
28,2,71.300000000000082,0,-6,0
29,1,-71.000000000000085,0,6,0
29,2,71.000000000000085,0,-6,0
30,1,-70.700000000000088,0,6,0
30,2,70.700000000000088,0,-6,0
31,1,-70.400000000000091,0,6,0
31,2,70.400000000000091,0,-6,0
32,1,-70.100000000000094,0,6,0
32,2,70.100000000000094,0,-6,0
33,1,-69.800000000000097,0,6,0
33,2,69.800000000000097,0,-6,0
34,1,-69.500000000000099,0,6,0
34,2,69.500000000000099,0,-6,0
35,1,-69.200000000000102,0,6,0
35,2,69.200000000000102,0,-6,0
36,1,-68.900000000000105,0,6,0
36,2,68.900000000000105,0,-6,0
37,1,-68.600000000000108,0,6,0
37,2,68.600000000000108,0,-6,0
38,1,-68.300000000000111,0,6,0
38,2,68.300000000000111,0,-6,0
39,1,-68.000000000000114,0,6,0
39,2,68.000000000000114,0,-6,0
40,1,-67.700000000000117,0,6,0
40,2,67.700000000000117,0,-6,0
41,1,-67.400000000000119,0,6,0
41,2,67.400000000000119,0,-6,0
42,1,-67.100000000000122,0,6,0
42,2,67.100000000000122,0,-6,0
43,1,-66.800000000000125,0,6,0
43,2,66.800000000000125,0,-6,0
44,1,-66.500000000000128,0,6,0
44,2,66.500000000000128,0,-6,0
45,1,-66.200000000000131,0,6,0
45,2,66.200000000000131,0,-6,0
46,1,-65.900000000000134,0,6,0
46,2,65.900000000000134,0,-6,0
47,1,-65.600000000000136,0,6,0
47,2,65.600000000000136,0,-6,0
48,1,-65.300000000000139,0,6,0
48,2,65.300000000000139,0,-6,0
49,1,-65.000000000000142,0,6,0
49,2,65.000000000000142,0,-6,0
50,1,-64.700000000000145,0,6,0
50,2,64.700000000000145,0,-6,0
51,1,-64.400000000000148,0,6,0
51,2,64.400000000000148,0,-6,0
52,1,-64.100000000000151,0,6,0
52,2,64.100000000000151,0,-6,0
53,1,-63.800000000000153,0,6,0
53,2,63.800000000000153,0,-6,0
54,1,-63.500000000000156,0,6,0
54,2,63.500000000000156,0,-6,0
55,1,-63.200000000000159,0,6,0
55,2,63.200000000000159,0,-6,0
56,1,-62.900000000000162,0,6,0
56,2,62.900000000000162,0,-6,0
57,1,-62.600000000000165,0,6,0
57,2,62.600000000000165,0,-6,0
58,1,-62.300000000000168,0,6,0
58,2,62.300000000000168,0,-6,0
59,1,-62.000000000000171,0,6,0
59,2,62.000000000000171,0,-6,0
60,1,-61.700000000000173,0,6,0
60,2,61.700000000000173,0,-6,0
61,1,-61.400000000000176,0,6,0
61,2,61.400000000000176,0,-6,0
62,1,-61.100000000000179,0,6,0
62,2,61.100000000000179,0,-6,0
63,1,-60.800000000000182,0,6,0
63,2,60.800000000000182,0,-6,0
64,1,-60.500000000000185,0,6,0
64,2,60.500000000000185,0,-6,0
65,1,-60.200000000000188,0,6,0
65,2,60.200000000000188,0,-6,0
66,1,-59.90000000000019,0,6,0
66,2,59.90000000000019,0,-6,0
67,1,-59.600000000000193,0,6,0
67,2,59.600000000000193,0,-6,0
68,1,-59.300000000000196,0,6,0
68,2,59.300000000000196,0,-6,0
69,1,-59.000000000000199,0,6,0
69,2,59.000000000000199,0,-6,0
70,1,-58.700000000000202,0,6,0
70,2,58.700000000000202,0,-6,0
71,1,-58.400000000000205,0,6,0
71,2,58.400000000000205,0,-6,0
72,1,-58.100000000000207,0,6,0
72,2,58.100000000000207,0,-6,0
73,1,-57.80000000000021,0,6,0
73,2,57.80000000000021,0,-6,0
74,1,-57.500000000000213,0,6,0
74,2,57.500000000000213,0,-6,0
75,1,-57.200000000000216,0,6,0
75,2,57.200000000000216,0,-6,0
76,1,-56.900000000000219,0,6,0
76,2,56.900000000000219,0,-6,0
77,1,-56.600000000000222,0,6,0
77,2,56.600000000000222,0,-6,0
78,1,-56.300000000000225,0,6,0
78,2,56.300000000000225,0,-6,0
79,1,-56.000000000000227,0,6,0
79,2,56.000000000000227,0,-6,0
80,1,-55.70000000000023,0,6,0
80,2,55.70000000000023,0,-6,0
81,1,-55.400000000000233,0,6,0
81,2,55.400000000000233,0,-6,0
82,1,-55.100000000000236,0,6,0
82,2,55.100000000000236,0,-6,0
83,1,-54.800000000000239,0,6,0
83,2,54.800000000000239,0,-6,0
84,1,-54.500000000000242,0,6,0
84,2,54.500000000000242,0,-6,0
85,1,-54.200000000000244,0,6,0
85,2,54.200000000000244,0,-6,0
86,1,-53.900000000000247,0,6,0
86,2,53.900000000000247,0,-6,0
87,1,-53.60000000000025,0,6,0
87,2,53.60000000000025,0,-6,0
88,1,-53.300000000000253,0,6,0
88,2,53.300000000000253,0,-6,0
89,1,-53.000000000000256,0,6,0
89,2,53.000000000000256,0,-6,0
90,1,-52.700000000000259,0,6,0
90,2,52.700000000000259,0,-6,0
91,1,-52.400000000000261,0,6,0
91,2,52.400000000000261,0,-6,0
92,1,-52.100000000000264,0,6,0
92,2,52.100000000000264,0,-6,0
93,1,-51.800000000000267,0,6,0
93,2,51.800000000000267,0,-6,0
94,1,-51.50000000000027,0,6,0
94,2,51.50000000000027,0,-6,0
95,1,-51.200000000000273,0,6,0
95,2,51.200000000000273,0,-6,0
96,1,-50.900000000000276,0,6,0
96,2,50.900000000000276,0,-6,0
97,1,-50.600000000000279,0,6,0
97,2,50.600000000000279,0,-6,0
98,1,-50.300000000000281,0,6,0
98,2,50.300000000000281,0,-6,0
99,1,-50.000000000000284,0,6,0
99,2,50.000000000000284,0,-6,0
100,1,-49.700000000000287,0,6,0
100,2,49.700000000000287,0,-6,0
101,1,-49.40000000000029,0,6,0
101,2,49.40000000000029,0,-6,0
102,1,-49.100000000000293,0,6,0
102,2,49.100000000000293,0,-6,0
103,1,-48.800000000000296,0,6,0
103,2,48.800000000000296,0,-6,0
104,1,-48.500000000000298,0,6,0
104,2,48.500000000000298,0,-6,0
105,1,-48.200000000000301,0,6,0
105,2,48.200000000000301,0,-6,0
106,1,-47.900000000000304,0,6,0
106,2,47.900000000000304,0,-6,0
107,1,-47.600000000000307,0,6,0
107,2,47.600000000000307,0,-6,0
108,1,-47.30000000000031,0,6,0
108,2,47.30000000000031,0,-6,0
109,1,-47.000000000000313,0,6,0
109,2,47.000000000000313,0,-6,0
110,1,-46.700000000000315,0,6,0
110,2,46.700000000000315,0,-6,0
111,1,-46.400000000000318,0,6,0
111,2,46.400000000000318,0,-6,0
112,1,-46.100000000000321,0,6,0
112,2,46.100000000000321,0,-6,0
113,1,-45.800000000000324,0,6,0
113,2,45.800000000000324,0,-6,0
114,1,-45.500000000000327,0,6,0
114,2,45.500000000000327,0,-6,0
115,1,-45.20000000000033,0,6,0
115,2,45.20000000000033,0,-6,0
116,1,-44.900000000000333,0,6,0
116,2,44.900000000000333,0,-6,0
117,1,-44.600000000000335,0,6,0
117,2,44.600000000000335,0,-6,0
118,1,-44.300000000000338,0,6,0
118,2,44.300000000000338,0,-6,0
119,1,-44.000000000000341,0,6,0
119,2,44.000000000000341,0,-6,0
120,1,-43.700000000000344,0,6,0
120,2,43.700000000000344,0,-6,0
121,1,-43.400000000000347,0,6,0
121,2,43.400000000000347,0,-6,0
122,1,-43.10000000000035,0,6,0
122,2,43.10000000000035,0,-6,0
123,1,-42.800000000000352,0,6,0
123,2,42.800000000000352,0,-6,0
124,1,-42.500000000000355,0,6,0
124,2,42.500000000000355,0,-6,0
125,1,-42.200000000000358,0,6,0
125,2,42.200000000000358,0,-6,0
126,1,-41.900000000000361,0,6,0
126,2,41.900000000000361,0,-6,0
127,1,-41.600000000000364,0,6,0
127,2,41.600000000000364,0,-6,0
128,1,-41.300000000000367,0,6,0
128,2,41.300000000000367,0,-6,0
129,1,-41.000000000000369,0,6,0
129,2,41.000000000000369,0,-6,0
130,1,-40.700000000000372,0,6,0
130,2,40.700000000000372,0,-6,0
131,1,-40.400000000000375,0,6,0
131,2,40.400000000000375,0,-6,0
132,1,-40.100000000000378,0,6,0
132,2,40.100000000000378,0,-6,0
133,1,-39.800000000000381,0,6,0
133,2,39.800000000000381,0,-6,0
134,1,-39.500000000000384,0,6,0
134,2,39.500000000000384,0,-6,0
135,1,-39.200000000000387,0,6,0
135,2,39.200000000000387,0,-6,0
136,1,-38.900000000000389,0,6,0
136,2,38.900000000000389,0,-6,0
137,1,-38.600000000000392,0,6,0
137,2,38.600000000000392,0,-6,0
138,1,-38.300000000000395,0,6,0
138,2,38.300000000000395,0,-6,0
139,1,-38.000000000000398,0,6,0
139,2,38.000000000000398,0,-6,0
140,1,-37.700000000000401,0,6,0
140,2,37.700000000000401,0,-6,0
141,1,-37.400000000000404,0,6,0
141,2,37.400000000000404,0,-6,0
142,1,-37.100000000000406,0,6,0
142,2,37.100000000000406,0,-6,0
143,1,-36.800000000000409,0,6,0
143,2,36.800000000000409,0,-6,0
144,1,-36.500000000000412,0,6,0
144,2,36.500000000000412,0,-6,0
145,1,-36.200000000000415,0,6,0
145,2,36.200000000000415,0,-6,0
146,1,-35.900000000000418,0,6,0
146,2,35.900000000000418,0,-6,0
147,1,-35.600000000000421,0,6,0
147,2,35.600000000000421,0,-6,0
148,1,-35.300000000000423,0,6,0
148,2,35.300000000000423,0,-6,0
149,1,-35.000000000000426,0,6,0
149,2,35.000000000000426,0,-6,0
150,1,-34.700000000000429,0,6,0
150,2,34.700000000000429,0,-6,0
151,1,-34.400000000000432,0,6,0
151,2,34.400000000000432,0,-6,0
152,1,-34.100000000000435,0,6,0
152,2,34.100000000000435,0,-6,0
153,1,-33.800000000000438,0,6,0
153,2,33.800000000000438,0,-6,0
154,1,-33.500000000000441,0,6,0
154,2,33.500000000000441,0,-6,0
155,1,-33.200000000000443,0,6,0
155,2,33.200000000000443,0,-6,0
156,1,-32.900000000000446,0,6,0
156,2,32.900000000000446,0,-6,0
157,1,-32.600000000000449,0,6,0
157,2,32.600000000000449,0,-6,0
158,1,-32.300000000000452,0,6,0
158,2,32.300000000000452,0,-6,0
159,1,-32.000000000000455,0,6,0
159,2,32.000000000000455,0,-6,0
160,1,-31.700000000000454,0,6,0
160,2,31.700000000000454,0,-6,0
161,1,-31.400000000000453,0,6,0
161,2,31.400000000000453,0,-6,0
162,1,-31.100000000000453,0,6,0
162,2,31.100000000000453,0,-6,0
163,1,-30.800000000000452,0,6,0
163,2,30.800000000000452,0,-6,0
164,1,-30.500000000000451,0,6,0
164,2,30.500000000000451,0,-6,0
165,1,-30.20000000000045,0,6,0
165,2,30.20000000000045,0,-6,0
166,1,-29.90000000000045,0,6,0
166,2,29.90000000000045,0,-6,0
167,1,-29.600000000000449,0,6,0
167,2,29.600000000000449,0,-6,0
168,1,-29.300000000000448,0,6,0
168,2,29.300000000000448,0,-6,0
169,1,-29.000000000000448,0,6,0
169,2,29.000000000000448,0,-6,0
170,1,-28.700000000000447,0,6,0
170,2,28.700000000000447,0,-6,0
171,1,-28.400000000000446,0,6,0
171,2,28.400000000000446,0,-6,0
172,1,-28.100000000000446,0,6,0
172,2,28.100000000000446,0,-6,0
173,1,-27.800000000000445,0,6,0
173,2,27.800000000000445,0,-6,0
174,1,-27.500000000000444,0,6,0
174,2,27.500000000000444,0,-6,0
175,1,-27.200000000000443,0,6,0
175,2,27.200000000000443,0,-6,0
176,1,-26.900000000000443,0,6,0
176,2,26.900000000000443,0,-6,0
177,1,-26.600000000000442,0,6,0
177,2,26.600000000000442,0,-6,0
178,1,-26.300000000000441,0,6,0
178,2,26.300000000000441,0,-6,0
179,1,-26.000000000000441,0,6,0
179,2,26.000000000000441,0,-6,0
180,1,-25.70000000000044,0,6,0
180,2,25.70000000000044,0,-6,0
181,1,-25.400000000000439,0,6,0
181,2,25.400000000000439,0,-6,0
182,1,-25.100000000000438,0,6,0
182,2,25.100000000000438,0,-6,0
183,1,-24.800000000000438,0,6,0
183,2,24.800000000000438,0,-6,0
184,1,-24.500000000000437,0,6,0
184,2,24.500000000000437,0,-6,0
185,1,-24.200000000000436,0,6,0
185,2,24.200000000000436,0,-6,0
186,1,-23.900000000000436,0,6,0
186,2,23.900000000000436,0,-6,0
187,1,-23.600000000000435,0,6,0
187,2,23.600000000000435,0,-6,0
188,1,-23.300000000000434,0,6,0
188,2,23.300000000000434,0,-6,0
189,1,-23.000000000000433,0,6,0
189,2,23.000000000000433,0,-6,0
190,1,-22.700000000000433,0,6,0
190,2,22.700000000000433,0,-6,0
191,1,-22.400000000000432,0,6,0
191,2,22.400000000000432,0,-6,0
192,1,-22.100000000000431,0,6,0
192,2,22.100000000000431,0,-6,0
193,1,-21.800000000000431,0,6,0
193,2,21.800000000000431,0,-6,0
194,1,-21.50000000000043,0,6,0
194,2,21.50000000000043,0,-6,0
195,1,-21.200000000000429,0,6,0
195,2,21.200000000000429,0,-6,0
196,1,-20.900000000000428,0,6,0
196,2,20.900000000000428,0,-6,0
197,1,-20.600000000000428,0,6,0
197,2,20.600000000000428,0,-6,0
198,1,-20.300000000000427,0,6,0
198,2,20.300000000000427,0,-6,0
199,1,-20.000000000000426,0,6,0
199,2,20.000000000000426,0,-6,0
200,1,-19.700000000000426,0,6,0
200,2,19.700000000000426,0,-6,0
201,1,-19.400000000000425,0,6,0
